date,revenue,orders,city
2024-05-30,6741.9083065501045,60,Surabaya
2024-05-31,6015.10245955137,54,Jakarta
2024-06-01,5273.74806137568,60,Surabaya
2024-06-02,5839.271499401844,66,Jakarta
2024-10-13,6725.247579385843,70,Jakarta
2024-06-04,7274.511361692065,73,Bandung
2024-06-05,8292.380304494745,79,Bandung
2024-06-06,7363.705521979352,77,Surabaya
2024-06-07,6004.616296392077,60,Jakarta
2024-06-08,6004.415743624396,54,Surabaya
2024-06-09,5673.845211506675,69,Jakarta
2024-06-10,6930.985465094297,76,Jakarta
2024-06-11,7754.809631631544,71,Medan
2024-06-12,7271.817565611478,62,Jakarta
2024-06-13,7174.797628779194,71,Medan
2024-06-14,6046.11492252505,59,Jakarta
2024-06-15,5532.117852051476,65,Jakarta
2024-06-16,5956.440830516281,60,Surabaya
2024-06-17,6013.312856861116,59,Bandung
2024-06-18,6573.1793163124885,73,Surabaya
2024-06-19,6672.321155374548,73,Bandung
2024-06-20,6119.0918475351455,64,Surabaya
2024-06-21,5459.423430511066,67,Surabaya
2024-01-01,5052.074540798213,54,Bandung
2024-06-23,5255.784485484756,59,Jakarta
2024-06-24,6253.498437202121,67,Jakarta
2024-06-25,6860.734979758436,80,Jakarta
2024-06-26,7571.890029730725,65,Medan
2024-06-27,6614.132066238402,63,Medan
2024-03-01,5692.2243469422,51,Surabaya
2024-06-30,5552.648328892668,55,Medan
2024-07-01,6377.99098307845,76,Jakarta
2024-07-02,7724.575422228317,76,Surabaya
2024-07-03,7791.790256446054,75,Medan
2024-09-10,7601.644534442896,69,Jakarta
2024-12-17,6712.382929689772,69,Surabaya
2024-07-06,6037.470663075114,70,Jakarta
2024-07-07,6006.596829247636,65,Medan
2024-12-28,6574.498748276079,69,Medan
2024-07-09,7642.533534356585,72,Medan
2024-07-10,8173.282976916194,79,Jakarta
2024-11-14,5982.064318669773,50,Bandung
2024-07-13,5775.502758927623,55,Jakarta
2024-07-14,5936.503457478004,66,Bandung
2024-07-15,6241.845827840365,74,Jakarta
2024-10-15,7243.758774905562,84,Surabaya
2024-07-17,7325.895161843358,81,Jakarta
2024-07-18,6355.03667538584,73,Jakarta
2024-07-19,5884.27538353307,67,Jakarta
2024-07-20,5369.833982101621,58,Surabaya
2024-07-21,5706.096915403161,65,Jakarta
2024-07-22,6487.372818611266,55,Surabaya
2024-07-23,6569.714742700446,78,Jakarta
2024-07-24,6945.499205164385,68,Jakarta
2024-07-25,6909.9725914729825,71,Surabaya
2024-07-26,6127.729283023591,51,Bandung
2024-07-27,5685.807113267979,67,Jakarta
2024-12-04,6987.8403384976,72,Surabaya
2024-07-29,6897.294550468231,58,Bandung
2024-07-30,7960.703595273554,69,Surabaya
2024-07-31,8206.962516192345,72,Jakarta
2024-08-01,7673.878672162397,84,Jakarta
2024-08-02,6602.012009818095,76,Bandung
2024-08-03,6452.898843529608,60,Jakarta
2024-08-04,6237.191677071695,53,Bandung
2024-08-05,7209.777009497736,70,Surabaya
2024-08-06,7925.264187721231,77,Medan
2024-08-07,8275.018412145297,90,Bandung
2024-08-08,8369.513189094028,75,Medan
2024-08-09,6193.947472007987,70,Jakarta
2024-08-10,6349.500305323342,68,Bandung
2024-08-11,5770.598790041742,59,Jakarta
2024-06-03,6803.472176083001,67,Jakarta
2024-08-13,7957.831730051384,88,Surabaya
2024-09-09,7747.790319076932,91,Bandung
2024-08-15,6772.945408858428,64,Medan
2024-08-16,5931.60512469795,64,Bandung
2024-08-17,5739.570780581806,55,Jakarta
2024-08-18,5456.456785028724,63,Jakarta
2024-08-19,6488.039455713316,65,Surabaya
2024-08-20,7205.091401823525,71,Jakarta
2024-08-21,7197.25535336663,87,Jakarta
2024-11-13,7524.826379000451,80,Jakarta
2024-08-23,6254.786115000695,73,Jakarta
2024-08-24,4985.682926479461,60,Jakarta
2024-08-25,5928.157391296003,49,Jakarta
2024-08-26,6554.260122593203,70,Jakarta
2024-08-27,7897.989199141833,70,Jakarta
2024-08-28,7709.774430378045,85,Medan
2024-08-29,7484.240569894576,69,Jakarta
2024-08-30,6910.021862004886,62,Jakarta
2024-08-31,6575.951546188053,63,Surabaya
2024-09-01,6235.131460208723,63,Jakarta
2024-09-02,7346.360961276906,76,Medan
2024-11-30,8136.793955486483,86,Bandung
2024-09-04,8306.327076395217,70,Jakarta
2024-09-05,8499.137123269595,75,Jakarta
2024-09-06,7209.714374784075,60,Bandung
2024-09-07,6134.614123957833,72,Medan
2024-09-08,6928.113213017235,63,Jakarta
2024-02-23,8001.7723619623475,68,Surabaya
2024-05-07,8374.391436965803,95,Jakarta
2024-09-11,7710.74400068121,93,Medan
2024-08-14,7384.503928216588,67,Jakarta
2024-09-14,5721.731693717936,50,Surabaya
2024-09-16,6989.584926577745,62,Surabaya
2024-09-17,7207.7259404722445,81,Jakarta
2024-09-18,7626.747526667767,88,Jakarta
2024-09-19,6117.667246946941,70,Jakarta
2024-02-09,5923.182856414458,52,Jakarta
2024-09-21,5643.6363979512835,52,Bandung
2024-09-22,5588.903052831108,55,Jakarta
2024-09-23,7304.452348303812,77,Jakarta
2024-09-24,7253.416990878804,63,Medan
2024-09-25,7842.285970662226,81,Bandung
2024-09-26,7580.108971004109,67,Medan
2024-09-27,7217.676329794078,73,Medan
2024-09-28,5925.6665481472,62,Jakarta
2024-06-22,7006.102403072535,71,Jakarta
2024-09-30,7540.798160890482,81,Bandung
2024-10-01,8111.006094412893,73,Surabaya
2024-10-02,8806.845628955762,87,Jakarta
2024-10-03,8237.623056622117,92,Bandung
2024-10-04,7160.024474186079,61,Jakarta
2024-10-05,6828.205167848639,71,Jakarta
2024-03-21,6871.253381552525,67,Surabaya
2024-10-07,7768.4377684812835,66,Surabaya
2024-10-08,8661.63213865892,82,Surabaya
2024-10-09,9062.433802349753,107,Jakarta
2024-10-10,7591.93480826768,64,Bandung
2024-07-08,7644.228694030676,72,Jakarta
2024-07-04,5781.91150138608,61,Jakarta
2024-07-12,6419.362075119266,75,Bandung
2024-10-14,7332.030949996484,65,Medan
2024-10-12,7939.3597043135305,75,Bandung
2024-10-16,7791.8881092503725,76,Bandung
2024-10-17,7321.996005953797,63,Surabaya
2024-10-18,6334.468544255027,56,Surabaya
2024-12-02,6384.007377036322,69,Jakarta
2024-10-21,7048.014743806326,78,Jakarta
2024-10-22,7565.603436244207,68,Jakarta
2024-10-23,8306.112174401871,102,Surabaya
2024-10-24,7673.276859645255,74,Jakarta
2024-10-25,7055.9216434894015,63,Jakarta
2024-10-26,6567.539141561723,57,Jakarta
2024-02-17,6435.223438912858,68,Surabaya
2024-10-28,7409.874136089497,65,Jakarta
2024-10-29,8691.579666364827,102,Bandung
2024-10-30,8942.342576862215,78,Jakarta
2024-10-31,8297.81581065332,97,Jakarta
2024-11-01,7541.176492835781,78,Surabaya
2024-05-16,7398.968307852972,66,Bandung
2024-11-03,7061.245719798233,82,Jakarta
2024-11-04,8192.897011350235,91,Surabaya
2024-11-05,8736.427972282689,80,Surabaya
2024-11-06,8890.581458585331,81,Jakarta
2024-11-08,7672.017353368933,71,Bandung
2024-11-09,7045.096039882306,69,Surabaya
2024-11-10,7294.589922895353,80,Bandung
2024-11-11,7595.342248380234,80,Bandung
2024-11-12,8479.721802420252,97,Surabaya
2024-03-19,8283.959015720682,71,Bandung
2024-11-02,7850.939648854837,75,Surabaya
2024-11-15,6777.418740052651,70,Surabaya
2024-11-16,6251.2951617251465,63,Surabaya
2024-11-17,6559.5435313990365,55,Bandung
2024-11-18,6903.848189811551,80,Jakarta
2024-11-19,8567.081238037474,82,Bandung
2024-11-20,7860.608138214481,78,Bandung
2024-11-21,7307.847330101365,69,Jakarta
2024-11-22,7221.429164988334,89,Bandung
2024-11-23,6656.3495027375275,57,Jakarta
2024-11-24,6897.926552068607,58,Jakarta
2024-11-25,7788.657396411511,75,Surabaya
2024-11-26,8490.486217737223,78,Jakarta
2024-07-05,8530.255391350429,72,Bandung
2024-10-20,7393.846674944923,85,Surabaya
2024-10-27,7434.385900034256,72,Jakarta
2024-12-01,7360.488662507773,70,Jakarta
2024-11-27,7989.522934726248,82,Surabaya
2024-12-03,8952.53969135487,81,Medan
2024-04-21,9374.150487929475,79,Surabaya
2024-12-05,8526.596001287015,72,Jakarta
2024-12-06,7546.983392049921,76,Surabaya
2024-12-07,7272.490390031853,86,Surabaya
2024-12-08,7396.510019120418,61,Bandung
2024-12-09,7870.463451118363,69,Jakarta
2024-03-02,8571.87309646538,100,Bandung
2024-12-11,8880.159331745273,76,Surabaya
2024-12-12,7739.338207697864,67,Medan
2024-12-13,6792.563601552129,67,Jakarta
2024-12-14,6375.920167898958,61,Surabaya
2024-12-15,6651.055109964639,69,Medan
2024-12-16,7536.971896554255,91,Jakarta
2024-01-22,8633.841596254613,92,Medan
2024-12-18,8628.115536389816,76,Surabaya
2024-12-19,7790.011095458084,97,Jakarta
2024-12-20,6994.4721814599225,74,Jakarta
2024-06-29,6209.1087957126965,64,Surabaya
2024-12-22,6767.069561255843,66,Jakarta
2024-01-04,7553.756357520165,64,Surabaya
2024-12-24,8617.744482456214,91,Jakarta
2024-12-25,8573.487715214102,91,Surabaya
2024-12-26,8548.591802978961,78,Jakarta
2024-12-27,8097.017067863363,82,Bandung
2024-04-29,7171.154830572449,80,Medan
2024-12-29,7616.136304143503,77,Medan
2024-03-23,8570.3964321698,100,Surabaya
2024-12-31,9094.47804279452,104,Jakarta
2024-01-30,5661.4699233263555,70,Jakarta
2024-01-19,4250.857108573958,50,Jakarta
2024-12-10,6941.589490182242,84,Surabaya
2024-10-10,7428.582810778767,64,Bandung
2024-08-14,8359.38537179026,91,Bandung
2024-09-12,5035.091343449724,49,Jakarta
2024-02-25,8151.201487362872,72,Jakarta
2024-02-17,4909.048763747163,55,Surabaya
2024-09-03,5983.853092850045,55,Jakarta
2024-03-27,7446.820776013217,72,Medan
